isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
79,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
80,Intercept,1,-2.9671,0.3607,-3.7567,-2.3280,67.66,<.0001
80,x1,1,2.5021,0.4861,1.5483,3.4777,26.50,<.0001
80,x2,1,-0.2393,0.4861,-1.2149,0.7145,0.24,0.6225
80,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
81,Intercept,1,-3.1305,0.3860,-3.9793,-2.4487,65.78,<.0001
81,x1,1,1.9275,0.3962,1.1635,2.7307,23.67,<.0001
81,x2,1,1.0813,0.4431,0.2517,2.0109,5.96,0.0147
81,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
82,Intercept,1,-3.3071,0.4102,-4.2194,-2.5895,65.01,<.0001
82,x1,1,2.0930,0.4971,1.1254,3.0952,17.73,<.0001
82,x2,1,0.8366,0.5216,-0.1609,1.9105,2.57,0.1087
82,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
83,Intercept,1,-3.9399,0.6316,-5.4946,-2.9124,38.91,<.0001
83,x1,1,1.9097,0.4511,1.0712,2.8672,17.92,<.0001
83,x2,1,1.8109,0.7347,0.4819,3.4925,6.08,0.0137
83,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
84,Intercept,1,-3.8816,0.5107,-5.0393,-3.0023,57.78,<.0001
84,x1,1,3.0796,0.5401,2.1012,4.2622,32.51,<.0001
84,x2,1,0.6191,0.4722,-0.2585,1.6187,1.72,0.1899
84,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
85,Intercept,1,-3.6699,0.5022,-4.8112,-2.8065,53.40,<.0001
85,x1,1,3.3936,0.5703,2.3307,4.6162,35.41,<.0001
85,x2,1,-0.0219,0.5215,-1.0312,1.0479,0.00,0.9664
85,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
86,Intercept,1,-4.2324,0.6412,-5.7884,-3.1771,43.57,<.0001
86,x1,1,2.1571,0.5342,1.1593,3.2876,16.31,<.0001
86,x2,1,1.6551,0.7169,0.3878,3.3048,5.33,0.0210
86,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
87,Intercept,1,-3.5604,0.4612,-4.5926,-2.7583,59.60,<.0001
87,x1,1,2.4166,0.4622,1.5415,3.3764,27.34,<.0001
87,x2,1,1.0556,0.5085,0.1147,2.1423,4.31,0.0379
87,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
88,Intercept,1,-3.2649,0.4220,-4.2031,-2.5271,59.85,<.0001
88,x1,1,2.4053,0.5090,1.4194,3.4391,22.33,<.0001
88,x2,1,0.4598,0.5227,-0.5415,1.5353,0.77,0.3790
88,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
89,Intercept,1,-3.7031,0.5101,-4.8634,-2.8280,52.70,<.0001
89,x1,1,3.3833,0.5867,2.2827,4.6303,33.25,<.0001
89,x2,1,0.0563,0.5574,-1.0088,1.2144,0.01,0.9196
89,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
90,Intercept,1,-3.3970,0.4384,-4.3847,-2.6368,60.03,<.0001
90,x1,1,2.4633,0.4813,1.5390,3.4449,26.20,<.0001
90,x2,1,0.8106,0.5387,-0.2014,1.9429,2.26,0.1324
90,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
91,Intercept,1,-3.7773,0.4920,-4.8987,-2.9320,58.94,<.0001
91,x1,1,3.1506,0.5491,2.1529,4.3478,32.92,<.0001
91,x2,1,0.5400,0.4554,-0.3100,1.4946,1.41,0.2357
91,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
92,Intercept,1,-3.7107,0.4691,-4.7621,-2.8963,62.56,<.0001
92,x1,1,2.2528,0.4887,1.3385,3.2792,21.25,<.0001
92,x2,1,1.1813,0.5164,0.2253,2.2811,5.23,0.0222
92,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
93,Intercept,1,-2.9029,0.3396,-3.6378,-2.2958,73.07,<.0001
93,x1,1,2.1831,0.4239,1.3480,3.0273,26.52,<.0001
93,x2,1,0.3678,0.4269,-0.4658,1.2259,0.74,0.3890
93,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
94,Intercept,1,-3.4919,0.4482,-4.5056,-2.7184,60.69,<.0001
94,x1,1,2.7417,0.7088,1.3107,4.1279,14.96,0.0001
